l_ipn,r_asn,f,year,month,day,dayofweek,f_scaled
0,701,1,2006,7,1,5,-0.016117355187611336
0,714,1,2006,7,1,5,-0.016117355187611336
0,1239,1,2006,7,1,5,-0.016117355187611336
0,1680,1,2006,7,1,5,-0.016117355187611336
0,2514,1,2006,7,1,5,-0.016117355187611336
0,3320,1,2006,7,1,5,-0.016117355187611336
0,3561,13,2006,7,1,5,-0.014035776995513708
0,4134,3,2006,7,1,5,-0.015770425488928395
0,5617,2,2006,7,1,5,-0.015943890338269866
0,6478,1,2006,7,1,5,-0.016117355187611336
0,6713,1,2006,7,1,5,-0.016117355187611336
0,7132,1,2006,7,1,5,-0.016117355187611336
0,9105,1,2006,7,1,5,-0.016117355187611336
0,10738,1,2006,7,1,5,-0.016117355187611336
0,10994,1,2006,7,1,5,-0.016117355187611336
0,12334,1,2006,7,1,5,-0.016117355187611336
0,12524,1,2006,7,1,5,-0.016117355187611336
0,12542,1,2006,7,1,5,-0.016117355187611336
0,13343,1,2006,7,1,5,-0.016117355187611336
0,13446,1,2006,7,1,5,-0.016117355187611336
0,13462,20,2006,7,1,5,-0.012821523050123426
0,13867,1,2006,7,1,5,-0.016117355187611336
0,13989,1,2006,7,1,5,-0.016117355187611336
0,14501,37,2006,7,1,5,-0.009872620611318453
0,16755,1,2006,7,1,5,-0.016117355187611336
0,17228,1,2006,7,1,5,-0.016117355187611336
0,19262,1,2006,7,1,5,-0.016117355187611336
0,19444,1,2006,7,1,5,-0.016117355187611336
0,20258,1,2006,7,1,5,-0.016117355187611336
0,20299,1,2006,7,1,5,-0.016117355187611336
0,20685,1,2006,7,1,5,-0.016117355187611336
0,21003,1,2006,7,1,5,-0.016117355187611336
0,24915,2,2006,7,1,5,-0.015943890338269866
0,29571,1,2006,7,1,5,-0.016117355187611336
0,32636,1,2006,7,1,5,-0.016117355187611336
1,680,1,2006,7,1,5,-0.016117355187611336
1,1239,6,2006,7,1,5,-0.01525003094090399
1,2828,2,2006,7,1,5,-0.015943890338269866
1,3265,519,2006,7,1,5,0.07373743677126958
1,4134,9,2006,7,1,5,-0.014729636392879584
1,4804,1,2006,7,1,5,-0.016117355187611336
1,4808,3,2006,7,1,5,-0.015770425488928395
1,6713,7,2006,7,1,5,-0.015076566091562521
1,6830,1,2006,7,1,5,-0.016117355187611336
1,8282,21,2006,7,1,5,-0.012648058200781956
1,9768,1,2006,7,1,5,-0.016117355187611336
1,11908,5,2006,7,1,5,-0.015423495790245458
1,12859,52,2006,7,1,5,-0.0072706478711964196
1,14501,3,2006,7,1,5,-0.015770425488928395
1,14777,4,2006,7,1,5,-0.015596960639586929
1,14778,2,2006,7,1,5,-0.015943890338269866
1,15557,1,2006,7,1,5,-0.016117355187611336
1,19548,1,2006,7,1,5,-0.016117355187611336
1,24915,1,2006,7,1,5,-0.016117355187611336
2,1312,218,2006,7,1,5,0.021524517119487423
2,3561,8,2006,7,1,5,-0.014903101242221052
2,3659,1,2006,7,1,5,-0.016117355187611336
2,4323,8,2006,7,1,5,-0.014903101242221052
2,5617,3,2006,7,1,5,-0.015770425488928395
2,5661,6,2006,7,1,5,-0.01525003094090399
2,7018,933,2006,7,1,5,0.1455518843986377
2,7132,3,2006,7,1,5,-0.015770425488928395
2,7377,198,2006,7,1,5,0.018055220132658045
2,14501,62,2006,7,1,5,-0.00553599937778173
2,19918,50,2006,7,1,5,-0.007617577569879357
2,29863,4,2006,7,1,5,-0.015596960639586929
2,33260,8,2006,7,1,5,-0.014903101242221052
2,33650,174,2006,7,1,5,0.013892063748462791
2,36114,1,2006,7,1,5,-0.016117355187611336
3,1239,1,2006,7,1,5,-0.016117355187611336
3,2152,1,2006,7,1,5,-0.016117355187611336
3,4134,1,2006,7,1,5,-0.016117355187611336
3,4808,7,2006,7,1,5,-0.015076566091562521
3,11908,6,2006,7,1,5,-0.01525003094090399
3,14501,2,2006,7,1,5,-0.015943890338269866
3,15290,1,2006,7,1,5,-0.016117355187611336
3,17429,1,2006,7,1,5,-0.016117355187611336
3,24915,2,2006,7,1,5,-0.015943890338269866
4,1239,5,2006,7,1,5,-0.015423495790245458
4,1668,1,2006,7,1,5,-0.016117355187611336
4,3356,21,2006,7,1,5,-0.012648058200781956
4,3561,10,2006,7,1,5,-0.014556171543538115
4,4323,1,2006,7,1,5,-0.016117355187611336
4,8282,21,2006,7,1,5,-0.012648058200781956
4,11908,1,2006,7,1,5,-0.016117355187611336
4,14501,34,2006,7,1,5,-0.01039301515934286
4,14778,6,2006,7,1,5,-0.01525003094090399
4,24915,1,2006,7,1,5,-0.016117355187611336
4,31976,83,2006,7,1,5,-0.0018932375416108823
5,2152,3,2006,7,1,5,-0.015770425488928395
5,3561,3,2006,7,1,5,-0.015770425488928395
5,4134,1,2006,7,1,5,-0.016117355187611336
5,4808,7,2006,7,1,5,-0.015076566091562521
5,8070,6,2006,7,1,5,-0.01525003094090399
5,8075,4,2006,7,1,5,-0.015596960639586929
5,11908,6,2006,7,1,5,-0.01525003094090399
5,13867,2,2006,7,1,5,-0.015943890338269866
5,14366,8,2006,7,1,5,-0.014903101242221052
5,14501,1,2006,7,1,5,-0.016117355187611336
5,15290,2,2006,7,1,5,-0.015943890338269866
5,24915,1,2006,7,1,5,-0.016117355187611336
6,1239,2,2006,7,1,5,-0.015943890338269866
6,4134,14,2006,7,1,5,-0.01386231214617224
6,4808,8,2006,7,1,5,-0.014903101242221052
6,4837,6,2006,7,1,5,-0.01525003094090399
6,10565,11,2006,7,1,5,-0.014382706694196645
6,11908,13,2006,7,1,5,-0.014035776995513708
6,12968,1,2006,7,1,5,-0.016117355187611336
6,14501,2,2006,7,1,5,-0.015943890338269866
6,15290,4,2006,7,1,5,-0.015596960639586929
6,17429,1,2006,7,1,5,-0.016117355187611336
6,19548,1,2006,7,1,5,-0.016117355187611336
7,109,7,2006,7,1,5,-0.015076566091562521
7,2152,46,2006,7,1,5,-0.008311436967245232
7,3356,55,2006,7,1,5,-0.006750253323172012
7,3491,3,2006,7,1,5,-0.015770425488928395
7,3561,35,2006,7,1,5,-0.010219550310001392
7,3582,10,2006,7,1,5,-0.014556171543538115
7,4513,6,2006,7,1,5,-0.01525003094090399
7,6432,10,2006,7,1,5,-0.014556171543538115
7,7805,2,2006,7,1,5,-0.015943890338269866
7,7859,2,2006,7,1,5,-0.015943890338269866
7,8070,5,2006,7,1,5,-0.015423495790245458
7,9156,2,2006,7,1,5,-0.015943890338269866
7,10565,2,2006,7,1,5,-0.015943890338269866
7,10763,5,2006,7,1,5,-0.015423495790245458
7,12222,2,2006,7,1,5,-0.015943890338269866
7,15169,32,2006,7,1,5,-0.010739944858025798
7,15290,2,2006,7,1,5,-0.015943890338269866
7,15830,19,2006,7,1,5,-0.012994987899464894
7,16759,4,2006,7,1,5,-0.015596960639586929
7,17210,7,2006,7,1,5,-0.015076566091562521
7,18924,48,2006,7,1,5,-0.007964507268562295
7,19306,15,2006,7,1,5,-0.01368884729683077
7,21844,26,2006,7,1,5,-0.01178073395407461
7,22277,5,2006,7,1,5,-0.015423495790245458
7,22822,2,2006,7,1,5,-0.015943890338269866
7,25969,6,2006,7,1,5,-0.01525003094090399
7,26085,5,2006,7,1,5,-0.015423495790245458
7,26101,15,2006,7,1,5,-0.01368884729683077
7,26229,16,2006,7,1,5,-0.0135153824474893
7,29720,8,2006,7,1,5,-0.014903101242221052
7,32934,7,2006,7,1,5,-0.015076566091562521
7,33419,2,2006,7,1,5,-0.015943890338269866
8,25,4,2006,7,1,5,-0.015596960639586929
8,26,3,2006,7,1,5,-0.015770425488928395
8,109,7,2006,7,1,5,-0.015076566091562521
8,209,4,2006,7,1,5,-0.015596960639586929
8,557,10,2006,7,1,5,-0.014556171543538115
8,786,6,2006,7,1,5,-0.01525003094090399
8,1103,1,2006,7,1,5,-0.016117355187611336
8,1653,5,2006,7,1,5,-0.015423495790245458
8,1668,4,2006,7,1,5,-0.015596960639586929
8,2152,21,2006,7,1,5,-0.012648058200781956
8,2386,7,2006,7,1,5,-0.015076566091562521
8,2834,23,2006,7,1,5,-0.012301128502099018
8,3356,5,2006,7,1,5,-0.015423495790245458
8,3561,5,2006,7,1,5,-0.015423495790245458
8,3701,4,2006,7,1,5,-0.015596960639586929
8,3999,1,2006,7,1,5,-0.016117355187611336
8,4266,4,2006,7,1,5,-0.015596960639586929
8,5653,16,2006,7,1,5,-0.0135153824474893
8,5662,13,2006,7,1,5,-0.014035776995513708
8,6140,4,2006,7,1,5,-0.015596960639586929
8,6453,4,2006,7,1,5,-0.015596960639586929
8,6939,4,2006,7,1,5,-0.015596960639586929
8,7805,1,2006,7,1,5,-0.016117355187611336
8,8001,4,2006,7,1,5,-0.015596960639586929
8,8070,6,2006,7,1,5,-0.01525003094090399
8,8075,7,2006,7,1,5,-0.015076566091562521
8,8468,6,2006,7,1,5,-0.01525003094090399
8,10913,4,2006,7,1,5,-0.015596960639586929
8,12552,4,2006,7,1,5,-0.015596960639586929
8,13890,4,2006,7,1,5,-0.015596960639586929
8,15169,228,2006,7,1,5,0.023259165612902113
8,15290,1,2006,7,1,5,-0.016117355187611336
8,17374,5,2006,7,1,5,-0.015423495790245458
8,21844,1,2006,7,1,5,-0.016117355187611336
